identifier,transaction_count,avg_price_eth,max_price_eth,min_price_eth,total_volume_eth,unique_buyers,unique_sellers,collection
9055,9,4.976666666666667,12.0,1.2,44.79,1,1,Doodles
9024,16,6.058,15.48,1.1,96.928,1,1,Doodles
9088,11,4.321726090909091,25.1,0.703,47.538987,1,1,Doodles
9067,4,6.765000000000001,18.98,1.2,27.06,1,1,Doodles
9223,34,5.237083823529411,23.0,1.7836,178.06085,1,1,Doodles
9040,56,5.237716071428571,12.899,2.19,293.3121,1,1,Doodles
9104,2,9.245,10.99,7.5,18.49,1,1,Doodles
9038,2,1.165,1.39,0.94,2.33,1,1,Doodles
9157,24,4.387181458333333,6.38,1.18,105.292355,1,1,Doodles
9154,41,1.9065656341463413,6.749,0.433,78.169191,1,1,Doodles
9062,8,6.6153125,24.5,2.46,52.9225,1,1,Doodles
9230,2,1.08,1.17,0.99,2.16,1,1,Doodles
9041,2,5.455,6.66,4.25,10.91,1,1,Doodles
9128,2,1.267,1.635,0.899,2.534,1,1,Doodles
9115,2,1.135,1.17,1.1,2.27,1,1,Doodles
9015,8,4.395,13.0,1.2,35.16,1,1,Doodles
9090,22,2.6698449545454546,15.0,0.4084,58.736589,1,1,Doodles
9046,3,1.4563333333333333,1.834,0.985,4.369,1,1,Doodles
9148,2,5.05,9.0,1.1,10.1,1,1,Doodles
9106,2,1.72,1.97,1.47,3.44,1,1,Doodles
9023,6,3.4216650000000004,9.99999,0.83,20.52999,1,1,Doodles
9048,3,1.6489666666666667,2.6,0.95,4.9469,1,1,Doodles
9100,3,6.066666666666666,15.0,1.4,18.2,1,1,Doodles
9108,3,13.256666666666668,14.98,10.99,39.77,1,1,Doodles
9129,2,1.11,1.12,1.1,2.22,1,1,Doodles
9008,2,29.75,55.0,4.5,59.5,1,1,Doodles
9176,2,4.05,4.8,3.3,8.1,1,1,Doodles
9132,9,5.448333333333334,18.39,0.95,49.035,1,1,Doodles
9031,9,2.6849944444444445,14.0,0.531,24.16495,1,1,Doodles
9151,5,5.668,14.75,1.1,28.34,1,1,Doodles
9233,3,8.086666666666666,12.4,0.86,24.26,1,1,Doodles
9014,3,4.62314,9.8,1.2,13.869420000000002,1,1,Doodles
9153,2,2.25,3.0,1.5,4.5,1,1,Doodles
9017,8,5.85491125,15.85,1.3,46.83929,1,1,Doodles
9081,13,3.766451307692308,14.0,0.98,48.963867,1,1,Doodles
9198,10,2.36299,5.15,0.81,23.6299,1,1,Doodles
9155,5,4.3260000000000005,9.0,1.15,21.630000000000003,1,1,Doodles
9185,12,3.851708333333333,10.0,0.6215,46.2205,1,1,Doodles
9087,6,3.1649833333333333,7.0,1.5,18.9899,1,1,Doodles
9167,30,2.5052833000000003,7.69,0.874,75.158499,1,1,Doodles
9186,2,3.45,3.9,3.0,6.9,1,1,Doodles
9047,2,1.445,2.0,0.89,2.89,1,1,Doodles
9044,6,8.31,11.99,3.59,49.86,1,1,Doodles
9208,4,1.18,1.4,0.97,4.72,1,1,Doodles
