identifier,transaction_count,avg_price_eth,max_price_eth,min_price_eth,total_volume_eth,unique_buyers,unique_sellers,collection
2430,1,2.42,2.42,2.42,2.42,1,1,BAYC
2416,5,34.39,70.3,6.66,171.95,1,1,BAYC
2411,2,0.975,1.55,0.4,1.95,1,1,BAYC
2423,10,39.519,45.96,2.0,395.19,1,1,BAYC
2433,3,25.686333333333334,46.66,0.899,77.059,1,1,BAYC
2414,8,22.54875,67.98,2.0,180.39,1,1,BAYC
2429,2,2.0,2.5,1.5,4.0,1,1,BAYC
2419,11,23.51430909090909,56.0,0.99,258.6574,1,1,BAYC
2415,3,63.61666666666667,135.0,0.85,190.85,1,1,BAYC
2412,1,0.55,0.55,0.55,0.55,1,1,BAYC
2431,3,14.796666666666669,17.0,13.5,44.39,1,1,BAYC
2432,0,0.0,0.0,0.0,0.0,0,0,BAYC
2435,6,12.5270545,13.9,11.2,75.162327,1,1,BAYC
2420,3,41.49666666666667,63.5,0.99,124.49,1,1,BAYC
2425,1,3.33,3.33,3.33,3.33,1,1,BAYC
2434,6,8.820761166666665,13.891567,4.893,52.924567,1,1,BAYC
2413,11,33.26092727272727,95.0,0.5,365.8702,1,1,BAYC
2428,2,4.05,6.1,2.0,8.1,1,1,BAYC
2417,2,16.05,31.0,1.1,32.1,1,1,BAYC
2424,2,39.75,75.0,4.5,79.5,1,1,BAYC
2422,5,59.07908,120.0,0.4,295.3954,1,1,BAYC
2421,9,14.215444444444444,22.5,2.75,127.939,1,1,BAYC
2427,12,46.9175,125.0,2.42,563.01,1,1,BAYC
2426,1,1.8,1.8,1.8,1.8,1,1,BAYC
2418,3,31.293333333333333,46.35,1.5,93.88,1,1,BAYC
2409,6,32.374833333333335,100.0,0.25,194.249,1,1,BAYC
2406,1,18.0,18.0,18.0,18.0,1,1,BAYC
2407,1,0.085,0.085,0.085,0.085,1,1,BAYC
2410,2,0.275,0.36,0.19,0.55,1,1,BAYC
2408,13,15.169230769230769,47.99,0.25,197.2,1,1,BAYC
2404,1,95.0,95.0,95.0,95.0,1,1,BAYC
2405,7,45.954,74.74,10.0,321.678,1,1,BAYC
2400,9,10.03090322222222,29.145729,2.0,90.278129,1,1,BAYC
2401,2,2.44995,2.9999,1.9,4.8999,1,1,BAYC
2398,3,2.8511,3.12,2.6,8.5533,1,1,BAYC
2402,2,128.5,200.0,57.0,257.0,1,1,BAYC
2399,8,10.2525,15.0,2.405,82.02,1,1,BAYC
2397,5,44.898,135.0,1.8,224.49,1,1,BAYC
2403,1,12.0,12.0,12.0,12.0,1,1,BAYC
2396,6,18.081665,55.0,5.14999,108.48999,1,1,BAYC
2390,2,1.2995,2.0,0.599,2.599,1,1,BAYC
2391,10,20.75788,60.0,0.5,207.5788,1,1,BAYC
2394,1,0.74552,0.74552,0.74552,0.74552,1,1,BAYC
2393,8,43.38552825,100.0,0.607326,347.084226,1,1,BAYC
2392,3,55.38333333333333,145.0,0.65,166.15,1,1,BAYC
2395,11,16.119454545454545,29.9,0.509,177.314,1,1,BAYC
2374,1,106.0,106.0,106.0,106.0,1,1,BAYC
2375,2,1.625,1.95,1.3,3.25,1,1,BAYC
2385,5,9.06782,12.25,1.75,45.3391,1,1,BAYC
2383,3,1.4266666666666663,2.69,0.6,4.279999999999999,1,1,BAYC
2380,15,41.16862,75.49,1.1,617.5293,1,1,BAYC
2376,2,12.475,23.3,1.65,24.95,1,1,BAYC
2370,6,24.843333333333334,115.0,2.0,149.06,1,1,BAYC
2378,7,16.267142857142858,24.49,1.5,113.87,1,1,BAYC
2387,7,9.231428571428571,13.7,1.5,64.62,1,1,BAYC
2389,6,59.55833333333334,95.0,0.35,357.35,1,1,BAYC
2372,1,5.0,5.0,5.0,5.0,1,1,BAYC
2377,3,12.596666666666666,32.9,1.2,37.79,1,1,BAYC
2379,2,3.8,5.8,1.8,7.6,1,1,BAYC
2369,5,56.762,98.69,0.4,283.81,1,1,BAYC
2371,6,63.22976666666667,98.5,4.5,379.3786,1,1,BAYC
2386,2,56.4,111.0,1.8,112.8,1,1,BAYC
2382,37,40.87838108108108,51.5,1.2,1512.5001,1,1,BAYC
2381,4,27.59625,80.0,0.385,110.385,1,1,BAYC
2373,6,6.123333333333334,23.5,1.5,36.74,1,1,BAYC
2384,7,27.080714285714286,87.0,0.725,189.565,1,1,BAYC
2388,12,18.933583416666668,93.0,2.4,227.203001,1,1,BAYC
2359,4,18.77,61.8,0.4,75.08,1,1,BAYC
2362,3,16.886666666666667,42.22,4.0,50.66,1,1,BAYC
2360,7,5.101728571428572,6.059,0.5555,35.7121,1,1,BAYC
2366,6,19.27833333333333,57.0,0.5,115.67,1,1,BAYC
2368,17,49.27620823529412,70.24,9.3,837.69554,1,1,BAYC
2358,2,3.495,6.0,0.99,6.99,1,1,BAYC
2365,15,9.0715864,19.09,0.46,136.07379600000002,1,1,BAYC
2363,2,145.325,289.0,1.65,290.65,1,1,BAYC
2354,11,10.68261809090909,38.6,0.4,117.508799,1,1,BAYC
2357,6,12.252316666666667,14.14,4.5,73.5139,1,1,BAYC
2356,12,39.944,78.18,2.0,479.328,1,1,BAYC
2367,5,14.6792184,26.3,0.331092,73.396092,1,1,BAYC
2355,2,1.925,2.0,1.85,3.85,1,1,BAYC
